time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.877933787849077e-07,7.572334595870237e-09,10.002016318230366,1.0219702334168801e-05,0.0004343500229913033,0.0,-4.021433801270267e-05,7.509452219047843e-07,0.06720840415213282,0.0005088572375878586,0.018779124837617754,0.0,424.7171784041852,426.3243968361553,427.19354317756,427.23691920292003
0.12000000000000001,-1.599136941991433e-05,3.9483156322213603e-07,10.008640772449587,6.728998813443354e-05,0.0016437120783150405,0.0,-0.0005935015125185086,1.655181956659862e-05,0.15359826784619468,0.0018215126755165094,0.022776460640506854,0.0,432.57812171642155,432.91452682902207,432.3387522295376,432.44929506086356
0.18,-9.273559304168785e-05,3.944398539492654e-06,10.021644069092625,0.0007030792115871876,0.003395636099838839,0.0,-0.002132232050069943,0.0001455681540239281,0.2798213636266154,0.02403470244421095,0.039664697240313726,0.0,444.7556516860459,446.1367031138121,444.0046710484414,445.8229476089943
0.23999999999999996,-0.00031760538651244314,3.709532691257144e-05,10.046058886746252,0.00190365405203341,0.0054389578668088134,0.0,-0.005643443885397153,0.0011262533344420383,0.5339201872432242,0.010413991335536185,0.01942593732090716,0.0,483.424475989196,481.8976521804991,484.7405422310933,483.71601603894294
0.3,-0.0007895830869995969,0.0001520881680136587,10.083933708523286,0.0021693093396937257,0.00698688884500509,0.0,-0.010248668403061862,0.0027629571985003107,0.7284686833455026,-0.011575556784768133,0.03619883215100175,0.0,465.68935351343174,466.9994003468677,467.0418673678894,465.32386163369597
0.36000000000000004,-0.0015787976538190196,0.0003659319205159432,10.13356378440835,0.0014038892479293352,0.008740729065218389,0.0,-0.016292999717931314,0.004280038775140324,0.9257263821082033,-0.015231212024596798,0.009240910765744877,0.0,467.5309739644073,465.42634731664424,468.2897386136003,468.0054572650161
0.4200000000000001,-0.0027381125287370524,0.0006483758224951457,10.19200568782207,0.0007439332304235435,0.009198265372361902,0.0,-0.02240169442354674,0.005055923647241426,1.0222549122152123,-0.0036526495077639242,0.00418160857716425,0.0,437.56210845442763,437.14066345146256,435.53807837950325,436.5053816486262
0.48000000000000015,-0.004259304064832022,0.0009654071630292258,10.254777614049656,0.0007818658321614436,0.009939507472209286,0.0,-0.028354507104417916,0.005504288634998736,1.0700982718896177,0.00805938910019288,0.025064584449853586,0.0,419.5051881638035,421.3143227872043,421.2968097573002,422.30813683716815
0.5400000000000001,-0.006170246834786913,0.0013140925249527922,10.321852122239648,0.001722114253627005,0.011195041248181603,0.0,-0.03548415812795917,0.006193866148892316,1.1656241428430514,0.027683814382424413,0.010999908367411508,0.0,437.6304491845548,436.45832435962,435.44047368522376,437.07881359780293
0.6000000000000002,-0.008567493942488048,0.0017340728879953016,10.39783298679525,0.0035977793773653843,0.01175724132152034,0.0,-0.044493400076537494,0.008012847060646349,1.3668511264377499,0.03759572174617436,0.005892786562476077,0.0,469.0321518529681,468.6352649440673,469.3470622689129,470.1159054692047
0.6600000000000003,-0.011498068209594916,0.002304443364456106,10.484254623922368,0.006542036239559401,0.012123419489151743,0.0,-0.053229525148504084,0.011289043937050342,1.5136851808433944,0.06551816572870277,0.0065200727379276565,0.0,453.9314843774556,453.9817121824747,451.664409186207,453.91188335725093
0.7200000000000003,-0.014967244482319828,0.0031454659064581764,10.57994624295453,0.010295232674562449,0.012960635373100438,0.0,-0.06247875093246717,0.01717146348569039,1.6758074183944132,0.05584703910509143,0.02574151582443331,0.0,456.966343443604,458.49577827976924,459.5243634851279,458.7598264345919
0.7800000000000004,-0.0189772903881668,0.004390915023835519,10.682555325271968,0.013440184225864904,0.014525255199005827,0.0,-0.07133951747984046,0.024659576229501715,1.7443869443613094,0.044479491255132404,0.026739564364258936,0.0,430.2631434791158,430.347785978983,429.45075546082563,428.4873994840853
0.8400000000000004,-0.02357340852258426,0.006167431058795971,10.79085006218763,0.01636328331064174,0.0157155159595721,0.0,-0.08201476148624312,0.03484990037750584,1.8652410231765448,0.05607323337436675,0.0001381120968518071,0.0,447.57495469629674,445.40482496013215,445.9906848481454,446.93797555779025
0.9000000000000005,-0.028854410493918153,0.008648093203224594,10.908010876618059,0.0201703760970231,0.015415291278685572,0.0,-0.09400082307653125,0.04824249502006768,2.0398168422078595,0.07516487538245024,-0.018042400530305293,0.0,464.39023859932104,462.9621346815243,462.2340997821886,463.7387599591214
0.9600000000000005,-0.034794293002212276,0.011955484620660664,11.032395212813581,0.02461915644304291,0.01481151273807857,0.0,-0.10391525960670053,0.06243601057011141,2.1061985824682012,0.07202848475978442,0.002409927506056819,0.0,428.89144810094706,430.625010418985,430.9247148229666,430.66400423464756
1.0200000000000005,-0.04136409766438023,0.01627490855725464,11.163661104317066,0.028717236085310738,0.014751429627202661,0.0,-0.11507978033712264,0.08200677147313243,2.269008733527793,0.05955460634196049,-0.008888338686466579,0.0,460.03608782271704,459.1406616729537,462.30357286391956,461.32299783890784
1.0800000000000005,-0.04858399215657977,0.021826958462960684,11.303624966689593,0.031764272429061435,0.014027589507488614,0.0,-0.12551421506600371,0.1034181755020209,2.396183939936545,0.02061551402458714,-0.019322472057954496,0.0,450.84885376795427,450.00517552896065,452.1177928655983,448.9710442118398
1.1400000000000006,-0.05646016906681777,0.028830940469488652,11.454696627654075,0.03313899646830354,0.01287923497324428,0.0,-0.1368760119103931,0.13019196596326169,2.63900499848308,0.02714899965205918,-0.01877530389804807,0.0,485.38688699601516,485.42802655326324,485.3020809769991,485.79220938748443
